Open,high,low,close,volume,UnixTime
30.700,31.335,28.900,29.989,119732123.8408,2018-09-10
29.988,30.700,28.300,29.240,122268526.5960,2018-09-11
29.240,30.240,28.300,30.021,130362200.8446,2018-09-12
30.011,31.990,29.731,31.256,151823668.5884,2018-09-13
31.300,31.850,30.451,30.930,121436608.5388,2018-09-14
30.927,31.679,30.800,31.429,69141694.3928,2018-09-15
31.429,31.499,30.820,31.400,50586948.9482,2018-09-16
31.400,31.630,29.800,30.240,79928921.3231,2018-09-17
30.220,37.290,30.150,35.769,140670212.0224,2018-09-18
35.700,37.543,34.880,36.159,186069639.4243,2018-09-19
36.135,54.900,35.900,50.400,259071301.0838,2018-09-20
50.415,75.010,45.900,60.998,369675034.4065,2018-09-21
60.950,66.980,53.000,63.703,320501590.5060,2018-09-22
63.703,66.666,62.689,64.260,180437958.1233,2018-09-23
64.266,64.750,54.120,55.515,213861265.8890,2018-09-24
55.499,62.004,49.188,58.900,312748027.3281,2018-09-25
58.900,63.980,54.600,57.780,357450764.8126,2018-09-26
57.779,62.500,57.342,61.203,186411503.9743,2018-09-27
61.325,62.000,58.600,61.138,162954247.7259,2018-09-28
61.187,66.300,59.666,64.761,212569432.4113,2018-09-29
64.762,70.000,63.400,65.950,291000712.9741,2018-09-30
65.950,68.898,60.492,65.140,292238544.5300,2018-10-01
65.140,65.500,57.200,57.600,210602784.8027,2018-10-02
57.598,61.800,57.000,60.001,203860598.7473,2018-10-03
60.003,62.701,59.611,60.018,130489841.7160,2018-10-04
60.008,60.512,57.510,58.900,110704082.3234,2018-10-05
58.902,59.219,52.961,55.599,167131678.9424,2018-10-06
55.599,55.952,53.041,54.702,139826430.4992,2018-10-07
54.702,56.500,53.800,55.326,150821273.1003,2018-10-08
55.326,55.447,53.111,53.900,99193236.4129,2018-10-09
53.891,53.920,51.041,51.545,123036468.2339,2018-10-10
51.545,51.545,41.500,42.300,369863300.5243,2018-10-11
42.300,49.500,41.700,46.470,373096907.0947,2018-10-12
46.470,47.546,46.011,46.670,120596071.5069,2018-10-13
46.670,47.595,44.498,44.900,93242009.5282,2018-10-14
44.866,51.500,43.599,49.239,284249803.7727,2018-10-15
49.225,52.800,48.821,52.500,196052497.0292,2018-10-16
52.501,53.197,50.899,52.288,196029405.6919,2018-10-17
52.284,53.101,49.201,50.901,157605177.4687,2018-10-18
50.901,51.500,49.917,50.880,96107631.3006,2018-10-19
50.870,51.900,50.400,51.410,80013349.0075,2018-10-20
51.411,51.890,50.521,50.840,56928142.9750,2018-10-21
50.840,51.249,50.050,50.762,64816548.3194,2018-10-22
50.763,52.700,48.501,51.399,154503264.4802,2018-10-23
51.397,52.400,50.305,50.888,92480894.0148,2018-10-24
50.888,51.850,50.245,51.018,74962956.9264,2018-10-25
51.047,51.350,50.400,51.100,67763180.6507,2018-10-26
51.095,51.250,50.600,50.803,35116556.4086,2018-10-27
50.800,51.475,50.701,51.320,30273041.3295,2018-10-28
51.310,51.360,48.557,49.370,116588246.1672,2018-10-29
49.370,50.590,49.300,50.022,83341241.3008,2018-10-30
50.030,51.058,49.211,50.580,70776013.4442,2018-10-31
50.580,51.247,50.308,51.220,45025359.2662,2018-11-01
51.220,52.000,51.173,51.607,82432615.4530,2018-11-02
51.612,51.748,51.101,51.342,34966797.7763,2018-11-03
51.342,53.700,50.421,52.479,112506691.2466,2018-11-04
52.477,56.980,51.904,56.200,148249672.5182,2018-11-05
56.249,64.603,56.130,62.211,418219455.6440,2018-11-06
